ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
10/1/2019 19:20,17.33713588,-0.052577783,28.3508783,20.1767011,10/1/2019
10/1/2019 20:20,12.36805179,-0.05408834,25.2243763,14.56054772,10/1/2019
10/1/2019 21:20,7.019113248,-0.052488309,20.86727601,9.167539265,10/1/2019
10/2/2019 8:20,-2.167031447,-0.051101836,9.053631013,0.00549112,10/2/2019
10/2/2019 9:20,4.974158191,-0.051290547,18.46029967,7.789073759,10/2/2019
10/2/2019 10:20,14.29521613,-0.052823704,28.40187592,17.95784915,10/2/2019
10/2/2019 11:20,22.12866502,-0.054110555,35.30730054,27.02509774,10/2/2019
10/2/2019 12:20,25.54236669,-0.052455607,37.46171282,32.17954893,10/2/2019
10/2/2019 13:20,24.45141595,-0.046642007,35.89692804,33.08075284,10/2/2019
10/2/2019 14:20,21.48592291,-0.03875988,33.26016277,31.66278074,10/2/2019
10/2/2019 15:20,19.74035209,-0.033298395,31.75249816,30.24337531,10/2/2019
10/2/2019 16:20,20.350344,-0.03393384,31.82479522,29.65717113,10/2/2019
10/2/2019 17:20,21.90110426,-0.04065463,32.43526721,28.95492563,10/2/2019
10/2/2019 18:20,21.96704976,-0.049723402,32.25859676,26.68617455,10/2/2019
10/2/2019 19:20,19.23785727,-0.05653133,30.61699016,22.39464607,10/2/2019
10/2/2019 20:20,14.37381613,-0.058891362,27.50767502,16.96536666,10/2/2019
10/2/2019 21:20,9.104937873,-0.058053951,23.14238503,11.72367103,10/2/2019
10/3/2019 8:20,-1.000990665,-0.057511113,9.657139518,1.492312374,10/3/2019
10/3/2019 9:20,5.911612018,-0.05709006,18.80522841,8.947438421,10/3/2019
10/3/2019 10:20,14.98811742,-0.05792566,28.48074633,18.76066083,10/3/2019
10/3/2019 11:20,22.56391128,-0.058438631,35.11569456,27.44962685,10/3/2019
10/3/2019 12:20,25.70990799,-0.055946061,36.99837054,32.20779849,10/3/2019
10/3/2019 13:20,24.34440678,-0.049244607,35.16380706,32.69976614,10/3/2019
10/3/2019 14:20,21.10083438,-0.040438627,32.26245819,30.86488668,10/3/2019
10/3/2019 15:20,19.07704292,-0.034032047,30.49862269,29.02636764,10/3/2019
10/3/2019 16:20,19.41208927,-0.03371622,30.32631935,28.02441908,10/3/2019
10/3/2019 17:20,20.69458135,-0.039494712,30.70681995,26.91541387,10/3/2019
10/3/2019 18:20,20.50228154,-0.047645184,30.31772788,24.25447159,10/3/2019
10/3/2019 19:20,17.52811316,-0.053573486,28.48399534,19.59080099,10/3/2019
10/3/2019 20:20,12.43547199,-0.05510668,25.20538589,13.81473498,10/3/2019
10/3/2019 21:20,6.957296437,-0.053508566,20.69592641,8.256671484,10/3/2019
10/4/2019 8:20,-3.616301607,-0.051506949,7.623526019,-2.420123754,10/4/2019
10/4/2019 9:20,3.440256766,-0.051664404,16.98940402,5.313297739,10/4/2019
10/4/2019 10:20,12.68936254,-0.053183492,26.90701796,15.4554923,10/4/2019
10/4/2019 11:20,20.4645352,-0.054475557,33.80587886,24.52126213,10/4/2019
10/4/2019 12:20,23.83449181,-0.052846749,35.97152356,29.70062009,10/4/2019
10/4/2019 13:20,22.71502885,-0.047081354,34.43598479,30.65413998,10/4/2019
10/4/2019 14:20,19.7367944,-0.039270088,31.84651102,29.31663839,10/4/2019
10/4/2019 15:20,17.99461897,-0.033902134,30.40402648,28.00630927,10/4/2019
10/4/2019 16:20,18.62433086,-0.034653191,30.55904507,27.55793225,10/4/2019
10/4/2019 17:20,20.21114116,-0.041510469,31.2692438,27.02209468,10/4/2019
10/4/2019 18:20,20.32928789,-0.050734783,31.20858283,24.94784192,10/4/2019
10/4/2019 19:20,17.66808496,-0.057714869,29.69836502,20.87809007,10/4/2019
10/4/2019 20:20,12.88727721,-0.060260638,26.73474091,15.69673406,10/4/2019
10/4/2019 21:20,7.716154757,-0.059618939,22.52820271,10.72766383,10/4/2019
10/5/2019 8:20,-0.709358439,-0.060436936,11.17361048,4.445872317,10/5/2019
